Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Villa, Arturo; Ocharán-Hernández, Jorge Octavio; Pérez-Arriaga, Juan Carlos; Limón, Xavier; ",A systematic mapping study on technical debt in microservices,2022 10th International Conference in Software Engineering Research and Innovation (CONISOFT),,,182-191,2022,IEEE
"Tamburri, Damian A; Di Nitto, Elisabetta; ",When software architecture leads to social debt,2015 12th Working IEEE/IFIP Conference on Software Architecture,,,61-64,2015,IEEE
"Li, Zengyang; Avgeriou, Paris; Liang, Peng; ",A systematic mapping study on technical debt and its management,Journal of Systems and Software,101,,193-220,2015,Elsevier
"Stochel, Marek G; Chołda, Piotr; Wawrowski, Mariusz R; ",Adopting DevOps paradigm in technical debt prioritization and mitigation,2022 48th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),,,306-313,2022,IEEE
"Yli-Huumo, Jesse; Maglyas, Andrey; Smolander, Kari; Haller, Johan; Törnroos, Hannu; ",Developing processes to increase technical debt visibility and manageability–an action research study in industry,"Product-Focused Software Process Improvement: 17th International Conference, PROFES 2016, Trondheim, Norway, November 22-24, 2016, Proceedings 17",,,368-378,2016,Springer
"Kouros, Panagiotis; Chaikalis, Theodore; Arvanitou, Elvira-Maria; Chatzigeorgiou, Alexander; Ampatzoglou, Apostolos; Amanatidis, Theodoros; ",Jcaliper: search-based technical debt management,Proceedings of the 34th ACM/SIGAPP Symposium on applied computing,,,1721-1730,2019,
"da S Maldonado, Everton; ",Identifying Self-Admitted Technical Debt,,,,,2016,Concordia University
"Diaz-Pace, J Andres; Tommasel, Antonela; Pigazzini, Ilaria; Fontana, Francesca Arcelli; ",Sen4smells: A tool for ranking sensitive smells for an architecture debt index,2020 IEEE Congreso Bienal de Argentina (ARGENCON),,,1-7,2020,IEEE
"Muratdağı, Tolga; ",IDENTIFYING TECHNICAL DEBT AND TOOLS FOR TECHNICAL DEBT MANAGEMENT IN SOFTWARE DEVELOPMENT,,,,,2024,Middle East Technical University
"Kruizinga, Ronald; Scheedler, Ruben; ",Technical Debt decision-making: Choosing the right moment for resolving Technical Debt,16th SC@ RUG 2018-2019,,,19,,
"Güler, Murat Can; ",UNDERSTANDING TECHNICAL DEBT IN COMPLEX SYSTEM DEVELOPMENT PROJECTS: A VISUALIZATION MODEL,,,,,2023,Middle East Technical University
